Date,AGG,EEM,EFA,GLD,SPY,TLT,VNQ
2016-11-21,82.14266967773438,28.055421829223633,42.21540069580078,115.58000183105469,188.4739227294922,91.80059051513672,53.29184341430664
2016-11-22,82.21847534179688,28.481109619140625,42.319671630859375,115.54000091552734,188.84207153320312,91.7702407836914,54.2265510559082
2016-11-23,81.93063354492188,28.175901412963867,42.170711517333984,113.25,188.94480895996094,91.41414642333984,53.99625778198242
2016-11-25,81.92306518554688,28.312440872192383,42.297332763671875,112.61000061035156,189.6468048095703,91.5505142211914,54.307823181152344
2016-11-28,82.21086883544922,28.42489242553711,42.07388687133789,113.80000305175781,188.7564239501953,92.22489166259766,54.558433532714844
2016-11-29,82.30171966552734,28.465045928955078,42.34201431274414,113.2699966430664,189.12464904785156,92.61132049560547,55.07996368408203
2016-11-30,81.97610473632812,28.513242721557617,42.297332763671875,111.75,188.6708526611328,91.11101531982422,54.45003890991211
2016-12-01,81.7059555053711,28.175901412963867,42.13347244262695,111.54000091552734,187.97740173339844,90.14897918701172,53.65080261230469
2016-12-02,81.9639663696289,28.20802116394043,42.23774337768555,112.13999938964844,188.07159423828125,90.80955505371094,54.1859016418457
2016-12-05,82.0322265625,28.440948486328125,42.65483093261719,111.54000091552734,189.2016143798828,90.71089935302734,54.58552551269531
2016-12-06,82.01708221435547,28.593563079833984,42.945308685302734,111.43000030517578,189.80088806152344,90.64252471923828,54.93771743774414
2016-12-07,82.22952270507812,29.075471878051758,43.58583450317383,111.83000183105469,192.28370666503906,91.41703033447266,56.035003662109375
2016-12-08,82.0777359008789,29.203989028930664,43.54860305786133,111.56999969482422,192.7545166015625,90.33882904052734,56.42106628417969
2016-12-09,81.8274154663086,29.051376342773438,43.73479080200195,110.4000015258789,193.91879272460938,89.21514129638672,56.3601188659668
2016-12-12,81.75149536132812,28.85860824584961,43.5411491394043,110.81999969482422,193.69627380371094,89.38215637207031,56.73263931274414
2016-12-13,81.85770416259766,29.17989158630371,44.010379791259766,110.44999694824219,194.98904418945312,89.70103454589844,56.70553970336914
